Zscore,longitude,latitude,year,group
579.39,-118.4583957,36.65046822,2006,positive
579.2,-118.4598532,36.64703823,2006,positive
539.78,-118.4255988,36.81570643,2006,positive
539.35,-118.4534131,36.64944199,2006,positive
516.93,-118.4252046,36.81091124,2006,positive
513.61,-118.4530614,36.64612971,2006,positive
513.15,-118.4598532,36.64703823,2006,positive
510.11,-118.4255988,36.81570643,2006,positive
506.78,-118.4252046,36.81091124,2006,positive
504.15,-118.4152073,36.81202757,2006,positive
493.5696,-118.5202121,37.07416658,2006,positive
487.88,-118.4235152,36.81222305,2006,positive
486.24,-118.4232941,36.81456708,2006,positive
478.47,-118.4248318,36.81292848,2006,positive
448.26,-118.4553895,36.65016068,2006,positive
443.47,-118.4534131,36.64944199,2006,positive
440.41,-118.4252046,36.81091124,2006,positive
437.1,-118.4287367,36.82718624,2006,positive
424.51,-118.4534131,36.64944199,2006,positive
424.43,-118.4583957,36.65046822,2006,positive
415.89,-118.4152073,36.81202757,2006,positive
391.72,-118.4252046,36.81091124,2006,positive
386,-118.4232941,36.81456708,2006,positive
384.29,-118.4276806,36.81976438,2006,positive
381.31,-118.4252046,36.81091124,2006,positive
340.2,-118.4248318,36.81292848,2006,positive
339.03,-118.4232941,36.81456708,2006,positive
320.41,-118.4255988,36.81570643,2006,positive
311.83,-118.4232941,36.81456708,2006,positive
311.23,-118.4612537,36.63903757,2006,positive
301.03,-118.4152073,36.81202757,2006,positive
268.96,-118.4598532,36.64703823,2006,positive
265.24,-118.4176384,36.81466472,2006,positive
256.3,-118.4276806,36.81976438,2006,positive
241.07,-118.4289099,36.80945064,2006,positive
235.95,-118.4530614,36.64612971,2006,positive
231.21,-118.4252046,36.81091124,2006,positive
230.36,-118.43037,36.82588259,2006,positive
222.89,-118.4235152,36.81222305,2006,positive
222.09,-118.4252046,36.81091124,2006,positive
211.28,-118.4248318,36.81292848,2006,positive
210.1,-118.42082,36.81548293,2006,positive
208.26,-118.4583957,36.65046822,2006,positive
205.09,-118.4530614,36.64612971,2006,positive
197.81,-118.4553895,36.65016068,2006,positive
195.3,-118.4553895,36.65016068,2006,positive
194.59,-118.4530614,36.64612971,2006,positive
188.54,-118.4323797,36.82354228,2006,positive
185.67,-118.4252046,36.81091124,2006,positive
183.19,-118.4530614,36.64612971,2006,positive
178.22,-118.4252046,36.81091124,2006,positive
167.66,-118.4252046,36.81091124,2006,positive
155.66,-118.4252046,36.81091124,2006,positive
154.64,-118.4252046,36.81091124,2006,positive
151.1,-118.4152073,36.81202757,2006,positive
136.77,-118.4310362,36.8181581,2006,positive
135.59,-118.4252046,36.81091124,2006,positive
134.39,-118.4235152,36.81222305,2006,positive
131.66,-118.4232941,36.81456708,2006,positive
131.1,-118.43037,36.82588259,2006,positive
128.42,-118.43037,36.82588259,2006,positive
121.66,-118.4553895,36.65016068,2006,positive
120.36,-118.4610758,36.6419294,2006,positive
116.13,-118.4252046,36.81091124,2006,positive
111.84,-118.4530614,36.64612971,2006,positive
109.08,-118.4530614,36.64612971,2006,positive
108.58,-118.4248318,36.81292848,2006,positive
102.31,-118.4610758,36.6419294,2006,positive
100.1,-118.4252046,36.81091124,2006,positive
93.38,-118.4152073,36.81202757,2006,positive
89.64,-118.4286489,36.82408687,2006,positive
88.35,-118.4232941,36.81456708,2006,positive
86.37,-118.42082,36.81548293,2006,positive
83.96,-118.4252046,36.81091124,2006,positive
81.86,-118.4248318,36.81292848,2006,positive
80,-118.4323797,36.82354228,2006,positive
70.42,-118.43037,36.82588259,2006,positive
62.53,-118.4610758,36.6419294,2006,positive
61.85,-118.4598532,36.64703823,2006,positive
59.75,-118.4534131,36.64944199,2006,positive
58.98,-118.4553895,36.65016068,2006,positive
55.43,-118.4232941,36.81456708,2006,positive
55.14,-118.4286489,36.82408687,2006,positive
54.42,-118.4553895,36.65016068,2006,positive
53.71,-118.4252046,36.81091124,2006,positive
50.61,-118.4553895,36.65016068,2006,positive
48.66,-118.4323797,36.82354228,2006,positive
48.16,-118.4232941,36.81456708,2006,positive
47.62,-118.4235152,36.81222305,2006,positive
43.75,-118.43037,36.82588259,2006,positive
40.15,-118.4289099,36.80945064,2006,positive
38.73,-118.4252046,36.81091124,2006,positive
37.27,-118.4255988,36.81570643,2006,positive
35.84,-118.4553895,36.65016068,2006,positive
34.95,-118.4232941,36.81456708,2006,positive
33.75,-118.42082,36.81548293,2006,positive
33.73,-118.4286489,36.82408687,2006,positive
32.94,-118.43037,36.82588259,2006,positive
31.73,-118.4323797,36.82354228,2006,positive
31.71,-118.4323797,36.82354228,2006,positive
30.96,-118.4530614,36.64612971,2006,positive
30.55,-118.4323797,36.82354228,2006,positive
30.32,-118.4286489,36.82408687,2006,positive
29.41,-118.4152073,36.81202757,2006,positive
29.21,-118.4323797,36.82354228,2006,positive
27.85,-118.4323797,36.82354228,2006,positive
27.71,-118.4530614,36.64612971,2006,positive
